,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
108,FSLR.OQ,2013-01-31T00:00:00Z,-8.74352331537161,2452443657.62,28.18
109,FSLR.OQ,2013-02-28T00:00:00Z,-12.9629629630583,2252124399.28,25.85
110,FSLR.OQ,2013-03-28T00:00:00Z,4.29400387093299,2349739698.32,26.96
111,FSLR.OQ,2013-04-30T00:00:00Z,72.7002967351824,4079797232.16,46.56
112,FSLR.OQ,2013-05-31T00:00:00Z,16.7955326457201,4775281080.207,54.38
113,FSLR.OQ,2013-06-28T00:00:00Z,-18.8939256563454,4374157634.98,44.73
114,FSLR.OQ,2013-07-31T00:00:00Z,10.0827185337058,4804642686.76,49.24
115,FSLR.OQ,2013-08-30T00:00:00Z,-25.4264825347121,3585611536.56,36.72
116,FSLR.OQ,2013-09-30T00:00:00Z,9.50435729905763,3926400868.33,40.21
117,FSLR.OQ,2013-10-31T00:00:00Z,25.0186520794345,5002433670.59999,50.27
118,FSLR.OQ,2013-11-29T00:00:00Z,16.4266251447502,5948506782.0,59.82
119,FSLR.OQ,2013-12-31T00:00:00Z,-8.65931126624682,5433407064.0,54.64
120,FSLR.OQ,2014-01-31T00:00:00Z,-7.43045387913981,5029680258.0,50.58
121,FSLR.OQ,2014-02-28T00:00:00Z,13.3240667197146,5679195153.58,57.07
122,FSLR.OQ,2014-03-31T00:00:00Z,22.2884177322533,6944997893.26,69.79
123,FSLR.OQ,2014-04-30T00:00:00Z,-1.67540792430192,6755425452.94,67.49
124,FSLR.OQ,2014-05-30T00:00:00Z,-8.46051266931281,6185704027.78,61.78
125,FSLR.OQ,2014-06-30T00:00:00Z,15.021042407784,7118612297.28,71.06
126,FSLR.OQ,2014-07-31T00:00:00Z,-11.1877286818009,6322201267.68,63.11
127,FSLR.OQ,2014-08-29T00:00:00Z,10.4103945476786,6981461897.28,69.68
128,FSLR.OQ,2014-09-30T00:00:00Z,-5.55396096398589,6593714228.76,65.81
129,FSLR.OQ,2014-10-31T00:00:00Z,-10.4999240219929,5902438148.59999,58.9
130,FSLR.OQ,2014-11-28T00:00:00Z,-13.0124777155641,4890305291.2,48.8
131,FSLR.OQ,2014-12-31T00:00:00Z,-8.61680327977363,4472385368.49,44.595
132,FSLR.OQ,2015-01-30T00:00:00Z,-5.10146877283039,4244228025.44,42.32
133,FSLR.OQ,2015-02-27T00:00:00Z,39.9180327878641,5991936160.035,59.745
134,FSLR.OQ,2015-03-31T00:00:00Z,0.075320111210186,6026318643.05999,59.79
135,FSLR.OQ,2015-04-30T00:00:00Z,-1.68067226931408,6015970035.27,59.67
136,FSLR.OQ,2015-05-29T00:00:00Z,-16.6918049271289,5011796052.51,49.71
137,FSLR.OQ,2015-06-30T00:00:00Z,-5.49185274440244,4739861763.9,46.98
138,FSLR.OQ,2015-07-31T00:00:00Z,-5.7045551308389,4469991027.59999,44.3
139,FSLR.OQ,2015-08-31T00:00:00Z,7.99097065345655,4827186698.88,47.84
140,FSLR.OQ,2015-09-30T00:00:00Z,-10.564853557263,4314288147.75,42.75
141,FSLR.OQ,2015-10-30T00:00:00Z,33.4970760247107,5759448528.47,57.07
142,FSLR.OQ,2015-11-30T00:00:00Z,-0.981251096437818,5702995698.65,56.51
143,FSLR.OQ,2015-12-31T00:00:00Z,16.7757918960072,6715590934.03,65.99
144,FSLR.OQ,2016-01-29T00:00:00Z,4.04606758669164,6987308282.01999,68.66
145,FSLR.OQ,2016-02-29T00:00:00Z,4.6752111877256,7314042442.9,71.87
146,FSLR.OQ,2016-03-31T00:00:00Z,-4.73076387865132,6998513017.86,68.47
147,FSLR.OQ,2016-04-29T00:00:00Z,-19.0372625780574,5709366774.88,55.84
148,FSLR.OQ,2016-05-31T00:00:00Z,-11.0852435536119,5076469562.55,49.65
149,FSLR.OQ,2016-06-30T00:00:00Z,-2.84569138218053,4961911516.79999,48.48
150,FSLR.OQ,2016-07-29T00:00:00Z,-3.71287128633458,4778143934.04,46.68
151,FSLR.OQ,2016-08-31T00:00:00Z,-18.9802913457538,3871238294.46,37.82
152,FSLR.OQ,2016-09-30T00:00:00Z,3.24183006507404,4103487604.81,39.49
153,FSLR.OQ,2016-10-31T00:00:00Z,2.53228665417535,4207440042.34,40.49
154,FSLR.OQ,2016-11-30T00:00:00Z,-25.4120541204722,3150644161.12,30.32
155,FSLR.OQ,2016-12-30T00:00:00Z,5.83773087113846,3334570287.94,32.09
156,FSLR.OQ,2017-01-31T00:00:00Z,-2.80461202636019,3241048528.54,31.19
157,FSLR.OQ,2017-02-28T00:00:00Z,14.9618805609991,3765377367.29,36.19
158,FSLR.OQ,2017-03-31T00:00:00Z,-25.117435754069,2826248620.7,27.1
159,FSLR.OQ,2017-04-28T00:00:00Z,7.57189661590412,3081772218.6,29.55
160,FSLR.OQ,2017-05-31T00:00:00Z,30.3214890024499,4016211442.91999,38.51
161,FSLR.OQ,2017-06-30T00:00:00Z,0.962025317434812,4159088868.96,39.88
162,FSLR.OQ,2017-07-31T00:00:00Z,23.6459378118028,5148822141.93,49.31
163,FSLR.OQ,2017-08-31T00:00:00Z,-4.76576759410074,4903441244.88,46.96
164,FSLR.OQ,2017-09-29T00:00:00Z,-4.59555000849664,4790670449.64,45.88
165,FSLR.OQ,2017-10-31T00:00:00Z,19.485614647243,5725016402.16,54.82
166,FSLR.OQ,2017-11-30T00:00:00Z,2.76352804963589,6485288554.8,62.1
167,FSLR.OQ,2017-12-29T00:00:00Z,8.72785829264084,7051315349.75999,67.52
168,FSLR.OQ,2018-01-31T00:00:00Z,-0.518364929081083,7017146458.2,67.17
169,FSLR.OQ,2018-02-28T00:00:00Z,-10.926870748249,6566232129.6,62.85
170,FSLR.OQ,2018-03-29T00:00:00Z,12.9355608603124,7435596708.54,70.98
171,FSLR.OQ,2018-04-30T00:00:00Z,-0.098619328006822,7428758724.73,70.91
172,FSLR.OQ,2018-05-31T00:00:00Z,-4.65378648859044,7083040154.83,67.61
173,FSLR.OQ,2018-06-29T00:00:00Z,-23.7253765924112,5516830269.98,52.66
174,FSLR.OQ,2018-07-31T00:00:00Z,-0.588682112210404,5486387317.5,52.35
175,FSLR.OQ,2018-08-31T00:00:00Z,-0.515759311010111,5458090764.0,52.08
176,FSLR.OQ,2018-09-28T00:00:00Z,-7.17024539857823,5074515261.0,48.42
177,FSLR.OQ,2018-10-31T00:00:00Z,-13.6720363504218,4381266038.59999,41.8
178,FSLR.OQ,2018-11-30T00:00:00Z,11.7395676238004,4659025727.65,44.45
179,FSLR.OQ,2018-12-31T00:00:00Z,-4.48818897615123,4452903755.755,42.455
180,FSLR.OQ,2019-01-31T00:00:00Z,19.1614650791999,5306145353.99,50.59
181,FSLR.OQ,2019-02-28T00:00:00Z,3.64891518747692,5512209758.59999,52.55
182,FSLR.OQ,2019-03-29T00:00:00Z,0.551855375876298,5566456695.56,52.84
183,FSLR.OQ,2019-04-30T00:00:00Z,16.4458743363352,6482381473.05,61.53
184,FSLR.OQ,2019-05-31T00:00:00Z,-5.67202990365678,6114698857.4,58.04
185,FSLR.OQ,2019-06-28T00:00:00Z,10.1274312551442,6919597190.8,65.68
186,FSLR.OQ,2019-07-31T00:00:00Z,-1.81181485972775,6796908072.4,64.49
187,FSLR.OQ,2019-08-30T00:00:00Z,-3.75251976858526,6541852753.2,62.07
